season,event_code,league,rank,school_chinese,school_english,score
2024,2024RMUC,RMUC,135,哈尔滨理工大学,Harbin University of Science and Technology,3.73
2024,2024RMUC,RMUC,138,辽宁石油化工大学,Liaoning Shihua University,3.69
2024,2024RMUC,RMUC,139,中国科学院大学,University of Chinese Academy of Sciences,3.68
2024,2024RMUC,RMUC,140,济南大学,Jinan Universty,3.65
2024,2024RMUC,RMUC,141,山东大学,Shan Dong University,3.61
2024,2024RMUC,RMUC,142,广州南方学院,Guangzhou Nanfang College,3.6
2024,2024RMUC,RMUC,143,内蒙古大学,Inner Mongolia University,3.56
2024,2024RMUC,RMUC,144,齐鲁工业大学,Qilu University of Technology,3.53
2024,2024RMUC,RMUC,145,吉利学院,Geely University of China,3.52
2024,2024RMUC,RMUC,146,大连大学,Dalian University,3.48
2024,2024RMUC,RMUC,147,陕西科技大学,Shaanxi University of Science and Technology,3.47
2024,2024RMUC,RMUC,148,南通理工学院,Nantong Institute of Technology,3.46
2024,2024RMUC,RMUC,149,广州航海学院,Guangzhou Maritime University,3.44
2024,2024RMUC,RMUC,150,山东石油化工学院,Shandong Institute of Petrochemical Technology,3.44
2024,2024RMUC,RMUC,151,南昌理工学院,Nanchang Institute of Technology,3.43
2024,2024RMUC,RMUC,152,浙江理工大学,Zhejiang Sci-Tech University,3.42
2024,2024RMUC,RMUC,153,深圳北理莫斯科大学,Shenzhen MSU-BIT University,3.41
2024,2024RMUC,RMUC,154,青岛理工大学,Qingdao University of Technology,3.38
2024,2024RMUC,RMUC,155,三江学院,Sanjiang University,3.36
2024,2024RMUC,RMUC,156,珠海科技学院,Zhuhai College of Jilin University,3.29
2024,2024RMUC,RMUC,157,贵阳人文科技学院,College of Humanities and Science of Guizhou Minzu University,3.25
2024,2024RMUC,RMUC,157,贵州师范学院,Guizhou Education University,3.25
2024,2024RMUC,RMUC,159,南通大学,Nantong university,3.23
2024,2024RMUC,RMUC,159,广东交通职业技术学院,Guangdong Communication Polytechnic,3.23
2024,2024RMUC,RMUC,161,青海大学,Qinghai University,3.08
2024,2024RMUC,RMUC,162,福建农林大学,Fujian Agriculture and Forestry University,2.98
2024,2024RMUC,RMUC,162,江苏城市职业学院,The City Vocational College of Jiangsu,2.98
2024,2024RMUC,RMUC,162,西安工业大学,Xi'an Technological University,2.98
2024,2024RMUC,RMUC,162,西南石油大学南充校区,Southwest Petroleum University Nanchong Campus,2.98
2024,2024RMUC,RMUC,166,文华学院,Wenhua College,2.75
2024,2024RMUC,RMUC,166,贵州师范大学,Guizhou Normal University,2.75
2024,2024RMUC,RMUC,166,河北工业大学,Hebei University Of Technology,2.75
2024,2024RMUC,RMUC,166,上海电力大学,Shanghai University of Electric Power,2.75
2024,2024RMUC,RMUC,170,惠州学院,Huizhou University,2.46
2024,2024RMUC,RMUC,171,遵义师范学院,Zunyi Normal University,2.44
2024,2024RMUC,RMUC,172,北京交通大学（威海校区）,Beijing Jiaotong University(Weihai),2.38
2024,2024RMUC,RMUC,172,成都理工大学工程技术学院,Engineering&Technical College of Chengdu University of Technology,2.38
2024,2024RMUC,RMUC,172,河北师范大学,Hebei Normal University,2.38
2024,2024RMUC,RMUC,172,武汉理工大学,Wuhan University of Technology,2.38
2024,2024RMUC,RMUC,172,宜宾学院,Yibin University,2.38
2024,2024RMUC,RMUC,172,长沙理工大学,Changsha University of Science and Technology,2.38
2024,2024RMUC,RMUC,172,浙江师范大学,Zhejiang Normal University,2.38
2024,2024RMUC,RMUC,179,南京工业大学,Nanjing Tech University,2.34
2024,2024RMUC,RMUC,180,上海理工大学,University of Shanghai for Science and Technology,2.13
2024,2024RMUC,RMUC,180,北方工业大学,North China University of Science and Technology,2.13
2024,2024RMUC,RMUC,180,宁波大学,Ningbo University,2.13
2024,2024RMUC,RMUC,180,安徽理工大学,Anhui University of Science and Technology,2.13
2024,2024RMUC,RMUC,180,北京邮电大学,Beijing University of Posts and Telecommunications,2.13
2024,2024RMUC,RMUC,180,广州铁路职业技术学院,Guangzhou Railway Polytechnic,2.13
2024,2024RMUC,RMUC,180,海南大学,Hainan unitersity,2.13
2024,2024RMUC,RMUC,180,河南科技大学,Henan University of Science and Technology,2.13
2024,2024RMUC,RMUC,180,华北电力大学（北京）,North China Electric Power University(Beijing),2.13
2024,2024RMUC,RMUC,180,集美大学,Jimei University,2.13
2024,2024RMUC,RMUC,180,中国人民解放军陆军装甲兵学院,Army Academy of Armored Forces,2.13
2024,2024RMUC,RMUC,180,山东大学（威海）,Shan Dong University(Weihai),2.13
2024,2024RMUC,RMUC,180,沈阳工学院,Shenyang Institute of Technology,2.13
2024,2024RMUC,RMUC,180,天津工业大学,Tiangong University,2.13
2024,2024RMUC,RMUC,180,新疆工程学院,Xinjiang Institute of Technology,2.13
2024,2024RMUC,RMUC,180,枣庄学院,Zaozhuang University,2.13
2024,2024RMUC,RMUC,180,中原工学院,Zhongyuan University of Technology,2.13
2024,2024RMUC,RMUC,180,内蒙古师范大学,Inner Mongolia Normal University,2.13
2024,2024RMUC,RMUC,180,江西冶金职业技术学院,Jiangxi Metallurgical Vocational and Technical College,2.13
2024,2024RMUC,RMUC,199,江西机电职业技术学院,Jiangxi Vocational College of Mechanical & Electrical Technology,1.68
2024,2024RMUC,RMUC,200,中国科学院深圳先进技术研究院,Shenzhen Institute of Advanced Technology，Chinese Academy of Sciences,1.6
2024,2024RMUC,RMUC,200,集美大学诚毅学院,"Chengyi University College, Jimei University",1.6
2024,2024RMUC,RMUC,202,大连海事大学,Dalian Maritime University,1.52
2024,2024RMUC,RMUC,203,成都工业学院,Chengdu Technology University,1.5
2024,2024RMUC,RMUC,204,河北轨道运输职业技术学院,Hebei Vocational College of Rail Transportation,1.5
2024,2024RMUC,RMUC,204,东莞城市学院,Dongguan City College,1.5
2024,2024RMUC,RMUC,206,哈尔滨理工大学荣成校区,Harbin University of Science and Technology Rongcheng Campus,1.45
2024,2024RMUC,RMUC,207,中南民族大学,South-Central Minzu University,1.36
2024,2024RMUC,RMUC,208,西南大学,Southwest University,1.32
2024,2024RMUC,RMUC,209,常州工学院,Changzhou Institute of Technology,0.95
2024,2024RMUC,RMUC,210,潍坊科技学院,Weifang University of Science and Technology,0.9
2024,2024RMUC,RMUC,211,中国石油大学（北京）克拉玛依校区,China University of Petroleum-Beijing at Karamay,0.85
2024,2024RMUC,RMUC,211,北京工业大学耿丹学院,Gengdan Institute of Beijing University of Technology,0.85
2024,2024RMUC,RMUC,211,宿迁学院,Suqian College,0.85
