RMUC 2026区域赛（东部赛区）赛程总览,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
晋级名额,,2026/5/20,,,,2026/5/21,,,,2026/5/22,,,,2026/5/23,,,,2026/5/24,,,,,,2026/5/25,,,,,
,A15,11,预检录队伍21,预检录队伍22,17:00-17:40,10,Ⅰ-B10,Ⅰ-B2,14:45-15:20,30,Ⅱ-B12,Ⅱ-B11,14:45-15:20,50,Ⅳ-A6,Ⅳ-A5,14:45-15:20,69,A-7,B-2,胜者③,败者③,15:20-15:55,季军争夺战 （BO5）,,,,,
,A16,12,预检录队伍23,预检录队伍24,17:40-18:20,11,Ⅰ-B3,Ⅰ-B11,15:20-15:55,31,Ⅱ-B13,Ⅱ-B14,15:20-15:55,51,Ⅳ-A8,Ⅳ-A7,15:20-15:55,70,A-3,B-6,胜者④,败者④,15:55-16:30,87,半决赛1,半决赛2,季军,殿军,14:10-15:10
"B
（16-8）",B1,休息,,,18:20-19:20,12,Ⅰ-B4,Ⅰ-B12,15:55-16:30,32,Ⅱ-B15,Ⅱ-B16,15:55-16:30,52,Ⅳ-A9,Ⅳ-A10,15:55-16:30,71,A-6,B-3,胜者⑤,败者⑤,16:30-17:05,冠军争夺战（BO5）,,,,,
,B2,下午检录,,,18:20开始,13,Ⅰ-B13,Ⅰ-B5,16:30-17:05,A组瑞士轮第三轮（BO3）,,,,53,Ⅳ-A11,Ⅳ-A12,16:30-17:05,72,A-2,B-7,胜者⑥,败者⑥,17:05-17:40,88,决赛1,决赛2,冠军,亚军,15:10-16:10
,B3,13,预检录队伍25,预检录队伍26,19:20-20:00,14,Ⅰ-B14,Ⅰ-B6,17:05-17:40,33,Ⅲ-A1,Ⅲ-A2,16:30-17:05,54,Ⅳ-A14,Ⅳ-A13,17:05-17:40,73,B-4,A-5,胜者⑦,败者⑦,17:40-18:15,闭幕式及颁奖仪式,,,,,16:10-16:40
,B4,14,预检录队伍27,预检录队伍28,20:00-20:40,15,Ⅰ-B7,Ⅰ-B15,17:40-18:15,34,Ⅲ-A3,Ⅲ-A4,17:05-17:40,B组瑞士轮第四轮（BO3）,,,,74,B-8,A-1,胜者⑧,败者⑧,18:15-18:50,,,,,,
,B5,15,预检录队伍29,预检录队伍30,20:40-21:20,16,Ⅰ-B8,Ⅰ-B16,18:15-18:50,35,Ⅲ-A6,Ⅲ-A5,17:40-18:15,55,Ⅳ-B4,Ⅳ-B3,17:40-18:15,休息,,,,,18:50-19:50,,,,,,
,B6,16,预检录队伍31,预检录队伍32,21:20-22:00,休息,,,18:50-19:50,36,Ⅲ-A8,Ⅲ-A7,18:15-18:50,56,Ⅳ-B5,Ⅳ-B6,18:15-18:50,晚上检录,,,,,18:50开始,,,,,,
,B7,,,,,晚上检录,,,18:50开始,休息,,,18:50-19:50,休息,,,18:50-19:50,8进4淘汰赛（BO3）,,,,,,,,,,,
,B8,,,,,A组瑞士轮第二轮（BO3）,,,,晚上检录,,,18:50开始,晚上检录,,,18:50开始,75,胜者①,胜者②,胜者一（四强）,全国赛,19:50-20:25,,,,,,
,B9,,,,,17,Ⅱ-A1,Ⅱ-A2,19:50-20:25,37,Ⅲ-A9,Ⅲ-A10,19:50-20:25,57,Ⅳ-B7,Ⅳ-B8,19:50-20:25,76,胜者④,胜者③,胜者二（四强）,全国赛,20:25-21:00,,,,,,
,B10,,,,,18,Ⅱ-A3,Ⅱ-A4,20:25-21:00,38,Ⅲ-A11,Ⅲ-A12,20:25-21:00,58,Ⅳ-B10,Ⅳ-B9,20:25-21:00,77,胜者⑤,胜者⑥,胜者三（四强）,全国赛,21:00-21:35,,,,,,
,B11,,,,,19,Ⅱ-A6,Ⅱ-A5,21:00-21:35,39,Ⅲ-A14,Ⅲ-A13,21:00-21:35,59,Ⅳ-B12,Ⅳ-B11,21:00-21:35,78,胜者⑧,胜者⑦,胜者四（四强）,全国赛,21:35-22:10,,,,,,
,B12,,,,,20,Ⅱ-A8,Ⅱ-A7,21:35-22:10,40,Ⅲ-A16,Ⅲ-A15,21:35-22:10,60,Ⅳ-B13,Ⅳ-B14,21:35-22:10,,,,,,,,,,,,
,B13,,,,,20,Ⅱ-A8,Ⅱ-A7,21:45-22:20,,,,,,,,,,,,,,,,,,,,
,B14,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,B15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,B16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
